
============================================================
Session started: 2026-04-14 11:16:49.340992  [mode=both  fire=ON]
============================================================
[ALERT] Violence  | frame     10 | conf 0.861 | 11:16:50.287
[ALERT] Violence  | frame     18 | conf 0.833 | 11:16:50.616

============================================================
Session started: 2026-04-14 11:18:03.576249  [mode=both  fire=ON]
============================================================
[ALERT] Littering | frame      1 | objects 2 | 11:18:04.288
[ALERT] Violence  | frame      2 | conf 0.801 | 11:18:04.478
[ALERT] Littering | frame      2 | objects 3 | 11:18:04.478
[ALERT] Littering | frame      4 | objects 8 | 11:18:04.644
[ALERT] Littering | frame      9 | objects 9 | 11:18:04.870
[ALERT] Littering | frame     11 | objects 9 | 11:18:05.067
[ALERT] Violence  | frame     22 | conf 0.925 | 11:18:05.441
[ALERT] Violence  | frame     27 | conf 0.817 | 11:18:05.683
[ALERT] Violence  | frame     39 | conf 0.898 | 11:18:06.053
[ALERT] Littering | frame     39 | objects 4 | 11:18:06.053
[ALERT] Violence  | frame     44 | conf 0.953 | 11:18:06.250
[ALERT] Littering | frame     44 | objects 12 | 11:18:06.250
[ALERT] Violence  | frame     49 | conf 0.998 | 11:18:06.443
[ALERT] Violence  | frame     53 | conf 0.990 | 11:18:06.637
[ALERT] Littering | frame     63 | objects 1 | 11:18:07.009
[ALERT] Littering | frame     68 | objects 3 | 11:18:07.213
[ALERT] Violence  | frame     74 | conf 0.900 | 11:18:07.468
[ALERT] Littering | frame     74 | objects 3 | 11:18:07.468
[ALERT] Violence  | frame     79 | conf 0.995 | 11:18:07.648
[ALERT] Littering | frame     79 | objects 6 | 11:18:07.648
[ALERT] Violence  | frame     84 | conf 0.913 | 11:18:07.812
[ALERT] Littering | frame     84 | objects 7 | 11:18:07.812
[ALERT] Violence  | frame     93 | conf 0.873 | 11:18:08.038
[ALERT] Violence  | frame     97 | conf 0.936 | 11:18:08.229
[ALERT] Violence  | frame    101 | conf 0.970 | 11:18:08.396
[ALERT] Violence  | frame    108 | conf 0.997 | 11:18:08.584
[ALERT] Littering | frame    108 | objects 3 | 11:18:08.584
[ALERT] Violence  | frame    119 | conf 0.930 | 11:18:08.938
[ALERT] Violence  | frame    124 | conf 0.881 | 11:18:09.149
[ALERT] Littering | frame    124 | objects 7 | 11:18:09.149
[ALERT] Violence  | frame    130 | conf 0.856 | 11:18:09.336
[ALERT] Littering | frame    130 | objects 17 | 11:18:09.336
[ALERT] Violence  | frame    134 | conf 0.887 | 11:18:09.524
[ALERT] Violence  | frame    143 | conf 0.974 | 11:18:09.893
[ALERT] Littering | frame    143 | objects 10 | 11:18:09.893
[ALERT] Violence  | frame    152 | conf 0.989 | 11:18:10.079
[ALERT] Littering | frame    152 | objects 10 | 11:18:10.079
[ALERT] Violence  | frame    240 | conf 0.812 | 11:18:15.029

============================================================
Session started: 2026-04-14 11:22:22.622495  [mode=both  fire=ON]
============================================================
[ALERT] Violence  | frame      1 | conf 0.852 | 11:22:23.401
[ALERT] Violence  | frame    123 | conf 0.812 | 11:22:27.572
[ALERT] Violence  | frame    125 | conf 0.835 | 11:22:27.727
[ALERT] Violence  | frame    145 | conf 0.905 | 11:22:28.507
[ALERT] Violence  | frame    151 | conf 0.920 | 11:22:28.816
[ALERT] Violence  | frame    157 | conf 0.928 | 11:22:29.127
[ALERT] Violence  | frame    161 | conf 0.951 | 11:22:29.297
[ALERT] Violence  | frame    166 | conf 0.873 | 11:22:29.455
[ALERT] Violence  | frame    170 | conf 0.956 | 11:22:29.614
[ALERT] Littering | frame    175 | objects 4 | 11:22:29.791
[ALERT] Violence  | frame    202 | conf 0.952 | 11:22:30.781
[ALERT] Violence  | frame    206 | conf 0.829 | 11:22:30.953
[ALERT] Littering | frame    206 | objects 2 | 11:22:30.953
[ALERT] Littering | frame    220 | objects 4 | 11:22:31.431
[ALERT] Violence  | frame    233 | conf 0.831 | 11:22:31.902
[ALERT] Violence  | frame    267 | conf 0.825 | 11:22:33.053
[ALERT] Violence  | frame    270 | conf 0.853 | 11:22:33.228
[ALERT] Littering | frame    270 | objects 2 | 11:22:33.228
[ALERT] FIRE       | frame    275 | objects 1 | 11:22:33.383
[ALERT] Littering | frame    279 | objects 10 | 11:22:33.545
[ALERT] Littering | frame    284 | objects 2 | 11:22:33.723
[ALERT] FIRE       | frame    284 | objects 1 | 11:22:33.723
[ALERT] FIRE       | frame    295 | objects 1 | 11:22:34.033
[ALERT] FIRE       | frame    298 | objects 1 | 11:22:34.202
[ALERT] FIRE       | frame    301 | objects 1 | 11:22:34.354
[ALERT] FIRE       | frame    305 | objects 1 | 11:22:34.514
[ALERT] FIRE       | frame    317 | objects 1 | 11:22:34.838
[ALERT] FIRE       | frame    322 | objects 1 | 11:22:35.000
[ALERT] Littering | frame    334 | objects 1 | 11:22:35.314
[ALERT] FIRE       | frame    347 | objects 1 | 11:22:35.650
[ALERT] Littering | frame    349 | objects 2 | 11:22:35.807
[ALERT] FIRE       | frame    349 | objects 1 | 11:22:35.807
[ALERT] Littering | frame    354 | objects 2 | 11:22:35.969
[ALERT] FIRE       | frame    359 | objects 1 | 11:22:36.138
[ALERT] FIRE       | frame    371 | objects 1 | 11:22:36.464
[ALERT] FIRE       | frame    374 | objects 1 | 11:22:36.624
[ALERT] FIRE       | frame    376 | objects 1 | 11:22:36.783
[ALERT] FIRE       | frame    382 | objects 1 | 11:22:36.948
[ALERT] Violence  | frame    385 | conf 0.837 | 11:22:37.106
[ALERT] Violence  | frame    397 | conf 0.849 | 11:22:37.572
[ALERT] FIRE       | frame    399 | objects 1 | 11:22:37.738
[ALERT] Violence  | frame    430 | conf 0.901 | 11:22:38.729
[ALERT] Violence  | frame    433 | conf 0.881 | 11:22:38.897
[ALERT] Violence  | frame    435 | conf 0.879 | 11:22:39.056
[ALERT] Violence  | frame    506 | conf 0.844 | 11:22:41.114
[ALERT] Littering | frame    519 | objects 10 | 11:22:41.559
[ALERT] Littering | frame    528 | objects 4 | 11:22:42.110
[ALERT] Violence  | frame    531 | conf 0.813 | 11:22:42.278
[ALERT] Littering | frame    536 | objects 5 | 11:22:42.431

============================================================
Session started: 2026-04-14 11:24:02.109751  [mode=both  fire=ON]
============================================================
[ALERT] Violence  | frame      1 | conf 0.820 | 11:24:02.806

============================================================
Session started: 2026-04-14 11:41:56.332227  [mode=both  fire=ON]
============================================================
[ALERT] FIRE       | frame    180 | objects 1 | 11:42:04.000
[ALERT] FIRE       | frame    184 | objects 1 | 11:42:04.178
[ALERT] Littering | frame    191 | objects 1 | 11:42:04.361
[ALERT] FIRE       | frame    191 | objects 1 | 11:42:04.361
[ALERT] FIRE       | frame    193 | objects 1 | 11:42:04.523
[ALERT] Violence  | frame    202 | conf 0.899 | 11:42:04.683
[ALERT] FIRE       | frame    202 | objects 1 | 11:42:04.683
[ALERT] Violence  | frame    209 | conf 0.977 | 11:42:04.857
[ALERT] Littering | frame    209 | objects 3 | 11:42:04.857
[ALERT] FIRE       | frame    209 | objects 1 | 11:42:04.857
[ALERT] Violence  | frame    218 | conf 0.934 | 11:42:05.148
[ALERT] Littering | frame    218 | objects 3 | 11:42:05.148
[ALERT] FIRE       | frame    218 | objects 1 | 11:42:05.148
[ALERT] Violence  | frame    228 | conf 0.987 | 11:42:05.488
[ALERT] Littering | frame    228 | objects 1 | 11:42:05.488
[ALERT] FIRE       | frame    228 | objects 1 | 11:42:05.488
[ALERT] Violence  | frame    244 | conf 0.973 | 11:42:06.043
[ALERT] FIRE       | frame    244 | objects 1 | 11:42:06.043
[ALERT] Violence  | frame    267 | conf 0.940 | 11:42:06.908
[ALERT] FIRE       | frame    267 | objects 1 | 11:42:06.908
[ALERT] Violence  | frame    290 | conf 0.984 | 11:42:07.682
[ALERT] FIRE       | frame    290 | objects 1 | 11:42:07.682
[ALERT] Violence  | frame    296 | conf 0.935 | 11:42:07.894
[ALERT] Littering | frame    296 | objects 2 | 11:42:07.894
[ALERT] Littering | frame    302 | objects 2 | 11:42:08.086
[ALERT] Littering | frame    318 | objects 1 | 11:42:09.002
[ALERT] Littering | frame    334 | objects 1 | 11:42:09.541
[ALERT] Littering | frame    338 | objects 1 | 11:42:09.731
[ALERT] Littering | frame    357 | objects 2 | 11:42:10.508
[ALERT] Littering | frame    359 | objects 4 | 11:42:10.720
[ALERT] Violence  | frame    367 | conf 0.994 | 11:42:10.918
[ALERT] Littering | frame    367 | objects 3 | 11:42:10.918
[ALERT] FIRE       | frame    367 | objects 1 | 11:42:10.918
[ALERT] Violence  | frame    374 | conf 0.968 | 11:42:11.091
[ALERT] Littering | frame    374 | objects 3 | 11:42:11.091
[ALERT] FIRE       | frame    374 | objects 1 | 11:42:11.091
[ALERT] Violence  | frame    382 | conf 0.994 | 11:42:11.281
[ALERT] Violence  | frame    386 | conf 0.994 | 11:42:11.469
[ALERT] Violence  | frame    391 | conf 0.975 | 11:42:11.645
[ALERT] Littering | frame    391 | objects 1 | 11:42:11.645
[ALERT] FIRE       | frame    391 | objects 1 | 11:42:11.645
[ALERT] Violence  | frame    397 | conf 0.997 | 11:42:11.849
[ALERT] FIRE       | frame    397 | objects 1 | 11:42:11.849
[ALERT] Violence  | frame    405 | conf 0.999 | 11:42:12.032
[ALERT] FIRE       | frame    405 | objects 1 | 11:42:12.032
[ALERT] Violence  | frame    412 | conf 0.985 | 11:42:12.214
[ALERT] Littering | frame    412 | objects 2 | 11:42:12.214
[ALERT] Violence  | frame    443 | conf 0.993 | 11:42:13.269
[ALERT] Littering | frame    443 | objects 2 | 11:42:13.269
[ALERT] Violence  | frame    448 | conf 0.998 | 11:42:13.475
[ALERT] Littering | frame    448 | objects 3 | 11:42:13.475
[ALERT] FIRE       | frame    448 | objects 1 | 11:42:13.475
[ALERT] Violence  | frame    449 | conf 0.992 | 11:42:13.649
[ALERT] Littering | frame    449 | objects 2 | 11:42:13.649
[ALERT] FIRE       | frame    449 | objects 1 | 11:42:13.649
[ALERT] Violence  | frame    513 | conf 0.993 | 11:42:15.886
[ALERT] Violence  | frame    516 | conf 0.988 | 11:42:16.090
[ALERT] Littering | frame    516 | objects 2 | 11:42:16.090
[ALERT] Violence  | frame    520 | conf 0.996 | 11:42:16.266
[ALERT] Littering | frame    520 | objects 3 | 11:42:16.266
[ALERT] Violence  | frame    527 | conf 0.997 | 11:42:16.468
[ALERT] Littering | frame    527 | objects 1 | 11:42:16.468
[ALERT] Violence  | frame    528 | conf 0.983 | 11:42:16.657
[ALERT] Violence  | frame    534 | conf 0.996 | 11:42:16.837
[ALERT] FIRE       | frame    534 | objects 1 | 11:42:16.837
[ALERT] Violence  | frame    537 | conf 0.996 | 11:42:17.015
[ALERT] Violence  | frame    545 | conf 0.995 | 11:42:17.172
[ALERT] Violence  | frame    557 | conf 0.992 | 11:42:17.367
[ALERT] Littering | frame    557 | objects 2 | 11:42:17.367
[ALERT] FIRE       | frame    561 | objects 1 | 11:42:17.538
[ALERT] FIRE       | frame    735 | objects 1 | 11:42:24.167
[ALERT] Violence  | frame    739 | conf 0.979 | 11:42:24.350
[ALERT] FIRE       | frame    739 | objects 1 | 11:42:24.350
[ALERT] Violence  | frame    743 | conf 0.975 | 11:42:24.549
[ALERT] FIRE       | frame    743 | objects 1 | 11:42:24.549
[ALERT] Violence  | frame    748 | conf 0.998 | 11:42:24.732
[ALERT] Littering | frame    748 | objects 5 | 11:42:24.732
[ALERT] FIRE       | frame    748 | objects 1 | 11:42:24.732
[ALERT] Violence  | frame    754 | conf 0.984 | 11:42:24.912
[ALERT] Littering | frame    754 | objects 3 | 11:42:24.912
[ALERT] FIRE       | frame    754 | objects 1 | 11:42:24.912
[ALERT] Violence  | frame    762 | conf 0.967 | 11:42:25.108
[ALERT] FIRE       | frame    762 | objects 1 | 11:42:25.108
[ALERT] Violence  | frame    767 | conf 0.975 | 11:42:25.295
[ALERT] FIRE       | frame    767 | objects 1 | 11:42:25.295
[ALERT] Violence  | frame    771 | conf 0.997 | 11:42:25.467
[ALERT] FIRE       | frame    771 | objects 1 | 11:42:25.467
[ALERT] Violence  | frame    772 | conf 0.945 | 11:42:25.653
[ALERT] FIRE       | frame    772 | objects 1 | 11:42:25.653
[ALERT] Violence  | frame    777 | conf 0.986 | 11:42:25.836
[ALERT] FIRE       | frame    777 | objects 1 | 11:42:25.836
[ALERT] Violence  | frame    782 | conf 0.984 | 11:42:26.016
[ALERT] FIRE       | frame    782 | objects 1 | 11:42:26.016
[ALERT] Violence  | frame    786 | conf 0.960 | 11:42:26.195
[ALERT] Violence  | frame    791 | conf 0.974 | 11:42:26.380
[ALERT] Littering | frame    795 | objects 3 | 11:42:26.549
[ALERT] Violence  | frame   2484 | conf 0.997 | 11:43:25.292
[ALERT] Violence  | frame   2489 | conf 0.998 | 11:43:25.636
[ALERT] Violence  | frame   2494 | conf 0.993 | 11:43:25.950
[ALERT] Violence  | frame   2500 | conf 0.974 | 11:43:26.158
[ALERT] Violence  | frame   2509 | conf 0.990 | 11:43:26.393
[ALERT] Violence  | frame   2535 | conf 0.983 | 11:43:27.341
[ALERT] Violence  | frame   2541 | conf 0.997 | 11:43:27.563
[ALERT] Violence  | frame   2549 | conf 0.986 | 11:43:27.804
[ALERT] Violence  | frame   2554 | conf 0.957 | 11:43:27.999
[ALERT] Violence  | frame   2564 | conf 0.985 | 11:43:28.197
[ALERT] Violence  | frame   2567 | conf 0.985 | 11:43:28.406
[ALERT] Violence  | frame   2572 | conf 0.961 | 11:43:28.602
[ALERT] Violence  | frame   2580 | conf 0.996 | 11:43:28.793
[ALERT] Violence  | frame   2582 | conf 0.996 | 11:43:29.026
[ALERT] Violence  | frame   2587 | conf 0.986 | 11:43:29.213
[ALERT] Violence  | frame   2592 | conf 0.962 | 11:43:29.412
[ALERT] Violence  | frame   2600 | conf 0.942 | 11:43:29.601
[ALERT] Violence  | frame   2631 | conf 0.986 | 11:43:30.832
[ALERT] Violence  | frame   2638 | conf 0.981 | 11:43:31.026
[ALERT] Violence  | frame   2641 | conf 0.973 | 11:43:31.207
[ALERT] Violence  | frame   2648 | conf 0.997 | 11:43:31.422
[ALERT] Violence  | frame   2651 | conf 0.992 | 11:43:31.634
[ALERT] Violence  | frame   2656 | conf 0.998 | 11:43:31.827
[ALERT] Violence  | frame   2662 | conf 0.993 | 11:43:32.057
[ALERT] Violence  | frame   2669 | conf 0.975 | 11:43:32.245
[ALERT] Violence  | frame   2675 | conf 0.955 | 11:43:32.426
[ALERT] Violence  | frame   2679 | conf 0.993 | 11:43:32.730
[ALERT] Violence  | frame   2685 | conf 0.995 | 11:43:32.925
[ALERT] Violence  | frame   2690 | conf 0.952 | 11:43:33.115
[ALERT] Violence  | frame   2698 | conf 0.996 | 11:43:33.328
[ALERT] Violence  | frame   2704 | conf 0.890 | 11:43:33.535
[ALERT] Violence  | frame   2739 | conf 0.931 | 11:43:34.812
[ALERT] Violence  | frame   2745 | conf 0.987 | 11:43:35.028
[ALERT] Violence  | frame   2751 | conf 0.940 | 11:43:35.242
[ALERT] Violence  | frame   2756 | conf 0.980 | 11:43:35.433
[ALERT] Violence  | frame   2766 | conf 0.937 | 11:43:35.619
[ALERT] Violence  | frame   2768 | conf 0.953 | 11:43:35.827
[ALERT] Littering | frame   2768 | objects 1 | 11:43:35.827
[ALERT] Violence  | frame   2773 | conf 0.972 | 11:43:36.037
[ALERT] Littering | frame   2773 | objects 2 | 11:43:36.037
[ALERT] Violence  | frame   2778 | conf 0.993 | 11:43:36.230
[ALERT] Violence  | frame   2807 | conf 0.993 | 11:43:37.122
[ALERT] Violence  | frame   2813 | conf 0.995 | 11:43:37.404
[ALERT] Violence  | frame   2818 | conf 0.997 | 11:43:37.629
[ALERT] Violence  | frame   2821 | conf 0.906 | 11:43:37.825
[ALERT] Violence  | frame   2827 | conf 1.000 | 11:43:38.045
[ALERT] Violence  | frame   2832 | conf 0.999 | 11:43:38.243
[ALERT] Violence  | frame   2838 | conf 0.888 | 11:43:38.450
[ALERT] Violence  | frame   2843 | conf 0.998 | 11:43:38.711
[ALERT] Violence  | frame   2848 | conf 0.981 | 11:43:38.922
[ALERT] Violence  | frame   2854 | conf 0.991 | 11:43:39.109
[ALERT] Violence  | frame   2861 | conf 0.972 | 11:43:39.322
[ALERT] Violence  | frame   2867 | conf 0.998 | 11:43:39.550
[ALERT] Violence  | frame   2872 | conf 0.992 | 11:43:39.741
[ALERT] Violence  | frame   2879 | conf 0.998 | 11:43:39.968
[ALERT] Violence  | frame   2883 | conf 0.996 | 11:43:40.169
[ALERT] Violence  | frame   2889 | conf 0.998 | 11:43:40.366
[ALERT] Violence  | frame   2896 | conf 0.999 | 11:43:40.589
[ALERT] Violence  | frame   2905 | conf 0.999 | 11:43:40.790
[ALERT] Violence  | frame   2908 | conf 0.998 | 11:43:40.991
[ALERT] Violence  | frame   2913 | conf 0.996 | 11:43:41.221
[ALERT] Violence  | frame   2918 | conf 0.996 | 11:43:41.441
[ALERT] Violence  | frame   2928 | conf 0.993 | 11:43:41.637
[ALERT] Violence  | frame   2932 | conf 0.999 | 11:43:41.849
[ALERT] Violence  | frame   2935 | conf 0.993 | 11:43:42.038
